"Kod";"Nazwa";"ogółem;ogółem;2010;[zł]";"ogółem;ogółem;2011;[zł]";"ogółem;ogółem;2012;[zł]";"ogółem;ogółem;2013;[zł]";"ogółem;ogółem;2014;[zł]";"ogółem;ogółem;2015;[zł]";"ogółem;ogółem;2016;[zł]";"ogółem;ogółem;2017;[zł]";"ogółem;ogółem;2018;[zł]";"ogółem;ogółem;2019;[zł]";"ogółem;ogółem;2020;[zł]";"ogółem;do 40 m2;2010;[zł]";"ogółem;do 40 m2;2011;[zł]";"ogółem;do 40 m2;2012;[zł]";"ogółem;do 40 m2;2013;[zł]";"ogółem;do 40 m2;2014;[zł]";"ogółem;do 40 m2;2015;[zł]";"ogółem;do 40 m2;2016;[zł]";"ogółem;do 40 m2;2017;[zł]";"ogółem;do 40 m2;2018;[zł]";"ogółem;do 40 m2;2019;[zł]";"ogółem;do 40 m2;2020;[zł]";"ogółem;od 40,1 do 60 m2;2010;[zł]";"ogółem;od 40,1 do 60 m2;2011;[zł]";"ogółem;od 40,1 do 60 m2;2012;[zł]";"ogółem;od 40,1 do 60 m2;2013;[zł]";"ogółem;od 40,1 do 60 m2;2014;[zł]";"ogółem;od 40,1 do 60 m2;2015;[zł]";"ogółem;od 40,1 do 60 m2;2016;[zł]";"ogółem;od 40,1 do 60 m2;2017;[zł]";"ogółem;od 40,1 do 60 m2;2018;[zł]";"ogółem;od 40,1 do 60 m2;2019;[zł]";"ogółem;od 40,1 do 60 m2;2020;[zł]";"ogółem;od 60,1 do 80 m2;2010;[zł]";"ogółem;od 60,1 do 80 m2;2011;[zł]";"ogółem;od 60,1 do 80 m2;2012;[zł]";"ogółem;od 60,1 do 80 m2;2013;[zł]";"ogółem;od 60,1 do 80 m2;2014;[zł]";"ogółem;od 60,1 do 80 m2;2015;[zł]";"ogółem;od 60,1 do 80 m2;2016;[zł]";"ogółem;od 60,1 do 80 m2;2017;[zł]";"ogółem;od 60,1 do 80 m2;2018;[zł]";"ogółem;od 60,1 do 80 m2;2019;[zł]";"ogółem;od 60,1 do 80 m2;2020;[zł]";"ogółem;od 80,1 m2;2010;[zł]";"ogółem;od 80,1 m2;2011;[zł]";"ogółem;od 80,1 m2;2012;[zł]";"ogółem;od 80,1 m2;2013;[zł]";"ogółem;od 80,1 m2;2014;[zł]";"ogółem;od 80,1 m2;2015;[zł]";"ogółem;od 80,1 m2;2016;[zł]";"ogółem;od 80,1 m2;2017;[zł]";"ogółem;od 80,1 m2;2018;[zł]";"ogółem;od 80,1 m2;2019;[zł]";"ogółem;od 80,1 m2;2020;[zł]";"rynek pierwotny;ogółem;2010;[zł]";"rynek pierwotny;ogółem;2011;[zł]";"rynek pierwotny;ogółem;2012;[zł]";"rynek pierwotny;ogółem;2013;[zł]";"rynek pierwotny;ogółem;2014;[zł]";"rynek pierwotny;ogółem;2015;[zł]";"rynek pierwotny;ogółem;2016;[zł]";"rynek pierwotny;ogółem;2017;[zł]";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;do 40 m2;2010;[zł]";"rynek pierwotny;do 40 m2;2011;[zł]";"rynek pierwotny;do 40 m2;2012;[zł]";"rynek pierwotny;do 40 m2;2013;[zł]";"rynek pierwotny;do 40 m2;2014;[zł]";"rynek pierwotny;do 40 m2;2015;[zł]";"rynek pierwotny;do 40 m2;2016;[zł]";"rynek pierwotny;do 40 m2;2017;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2010;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2011;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2012;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2013;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2014;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2015;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2016;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2017;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2010;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2011;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2012;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2013;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2014;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2015;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2016;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2017;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2010;[zł]";"rynek pierwotny;od 80,1 m2;2011;[zł]";"rynek pierwotny;od 80,1 m2;2012;[zł]";"rynek pierwotny;od 80,1 m2;2013;[zł]";"rynek pierwotny;od 80,1 m2;2014;[zł]";"rynek pierwotny;od 80,1 m2;2015;[zł]";"rynek pierwotny;od 80,1 m2;2016;[zł]";"rynek pierwotny;od 80,1 m2;2017;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek wtórny;ogółem;2010;[zł]";"rynek wtórny;ogółem;2011;[zł]";"rynek wtórny;ogółem;2012;[zł]";"rynek wtórny;ogółem;2013;[zł]";"rynek wtórny;ogółem;2014;[zł]";"rynek wtórny;ogółem;2015;[zł]";"rynek wtórny;ogółem;2016;[zł]";"rynek wtórny;ogółem;2017;[zł]";"rynek wtórny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2019;[zł]";"rynek wtórny;ogółem;2020;[zł]";"rynek wtórny;do 40 m2;2010;[zł]";"rynek wtórny;do 40 m2;2011;[zł]";"rynek wtórny;do 40 m2;2012;[zł]";"rynek wtórny;do 40 m2;2013;[zł]";"rynek wtórny;do 40 m2;2014;[zł]";"rynek wtórny;do 40 m2;2015;[zł]";"rynek wtórny;do 40 m2;2016;[zł]";"rynek wtórny;do 40 m2;2017;[zł]";"rynek wtórny;do 40 m2;2018;[zł]";"rynek wtórny;do 40 m2;2019;[zł]";"rynek wtórny;do 40 m2;2020;[zł]";"rynek wtórny;od 40,1 do 60 m2;2010;[zł]";"rynek wtórny;od 40,1 do 60 m2;2011;[zł]";"rynek wtórny;od 40,1 do 60 m2;2012;[zł]";"rynek wtórny;od 40,1 do 60 m2;2013;[zł]";"rynek wtórny;od 40,1 do 60 m2;2014;[zł]";"rynek wtórny;od 40,1 do 60 m2;2015;[zł]";"rynek wtórny;od 40,1 do 60 m2;2016;[zł]";"rynek wtórny;od 40,1 do 60 m2;2017;[zł]";"rynek wtórny;od 40,1 do 60 m2;2018;[zł]";"rynek wtórny;od 40,1 do 60 m2;2019;[zł]";"rynek wtórny;od 40,1 do 60 m2;2020;[zł]";"rynek wtórny;od 60,1 do 80 m2;2010;[zł]";"rynek wtórny;od 60,1 do 80 m2;2011;[zł]";"rynek wtórny;od 60,1 do 80 m2;2012;[zł]";"rynek wtórny;od 60,1 do 80 m2;2013;[zł]";"rynek wtórny;od 60,1 do 80 m2;2014;[zł]";"rynek wtórny;od 60,1 do 80 m2;2015;[zł]";"rynek wtórny;od 60,1 do 80 m2;2016;[zł]";"rynek wtórny;od 60,1 do 80 m2;2017;[zł]";"rynek wtórny;od 60,1 do 80 m2;2018;[zł]";"rynek wtórny;od 60,1 do 80 m2;2019;[zł]";"rynek wtórny;od 60,1 do 80 m2;2020;[zł]";"rynek wtórny;od 80,1 m2;2010;[zł]";"rynek wtórny;od 80,1 m2;2011;[zł]";"rynek wtórny;od 80,1 m2;2012;[zł]";"rynek wtórny;od 80,1 m2;2013;[zł]";"rynek wtórny;od 80,1 m2;2014;[zł]";"rynek wtórny;od 80,1 m2;2015;[zł]";"rynek wtórny;od 80,1 m2;2016;[zł]";"rynek wtórny;od 80,1 m2;2017;[zł]";"rynek wtórny;od 80,1 m2;2018;[zł]";"rynek wtórny;od 80,1 m2;2019;[zł]";"rynek wtórny;od 80,1 m2;2020;[zł]";
0000000;"POLSKA";244571;243376;235083;234956;236592;244602;248771;252742;266834;283949;311467;146334;146920;139954;139319;142129;149206;151831;157380;168602;182268;201152;220372;219842;210381;212086;213564;222495;226866;231059;239612;257152;281433;296790;295966;288065;285807;290581;300992;305269;311107;322932;344503;378017;550711;541810;522333;516806;513445;522930;525081;516796;543979;538022;582208;309936;314723;304789;300364;300784;308526;309254;309927;311851;326555;352656;179352;184168;179151;176017;184524;193323;195440;196492;202762;210174;229791;260271;264272;254853;255051;258047;271637;276145;275945;274716;289426;309669;355542;358169;348993;343941;350779;367644;369686;369393;362561;382975;416417;656058;660587;652556;637515;624825;622936;611068;618324;600249;572131;615937;210734;209097;192887;191962;195681;205301;210582;218678;236958;257599;281011;136206;136697;126806;125027;125166;130410;131911;139957;151923;169176;184652;198053;196837;181068;181197;182404;189123;192789;202615;215721;237649;261165;258224;257360;238723;236865;243143;254347;258885;270262;289499;314035;342689;471373;457598;415471;410206;425202;451753;466836;452928;503461;511863;549670;
0200000;"DOLNOŚLĄSKIE";230232;230596;220181;238195;226481;226067;234486;233603;248842;260311;268487;135119;135288;126993;135294;134637;135722;142311;148265;153758;164032;167974;218425;216816;206704;218676;210939;212747;218759;218727;230803;242235;253271;286815;285586;272704;281997;272701;276588;282679;285824;297913;316367;324206;410499;425358;374648;489029;410860;396097;410735;390956;415711;422180;429377;312729;319720;300591;316627;294775;300524;304406;307255;319205;326000;336892;200450;201979;188062;180773;195402;191263;201863;206506;218709;222854;237024;276802;278810;266537;273843;259946;270424;274677;277588;285579;294384;307510;365773;367691;345896;357470;336677;351712;352120;367923;356523;378444;381885;560135;592909;491582;695671;550604;567341;539863;530283;531701;515913;506821;192440;193292;176494;181916;177297;183477;189064;191640;205929;226026;237561;119735;119580;109456;112447;107673;114282;113375;121969;127946;141491;146504;186649;187157;170652;173889;169847;174376;179128;181300;194646;213563;227199;243496;245009;221073;224370;220659;230250;232446;237903;254118;277882;292825;336706;340573;300042;326904;309776;307164;330108;314365;343105;372521;390941;
0201000;"Powiat bolesławiecki";124594;127114;126566;134735;125785;142884;138297;142400;150797;194328;223395;85804;73671;83380;89105;89626;73887;72857;79971;78347;104881;116331;132171;126029;122489;126513;128804;118741;124388;125960;129739;164053;197326;168000;174960;171586;174926;181689;190048;185912;190620;200658;236205;284227;208500;305120;211411;198513;157680;233761;248740;243222;260169;285880;329882;0;0;0;203906;146100;197069;215579;180600;225266;259905;262832;0;0;0;0;0;0;0;0;114517;0;146500;0;0;0;144281;149560;143000;185723;180600;201531;183267;227651;0;0;0;222791;0;0;253292;0;240773;262737;311062;0;0;0;0;0;0;0;0;279062;306179;409756;124594;127114;126566;127012;124294;141632;131856;142068;141077;186016;210249;85804;73671;83380;87489;88290;73887;72857;79971;77506;105457;111385;132171;126029;122489;125597;126809;118119;117727;124867;121057;162754;184431;168000;174960;171586;160965;180906;189577;176767;190620;190712;232705;275477;208500;305120;211411;179340;157680;231857;248740;243222;257133;275157;304779;
0202000;"Powiat dzierżoniowski";102842;102099;96991;100215;113099;92474;96600;98368;106541;107759;115134;66155;62616;60092;61624;54852;55216;59639;59435;69812;68934;73698;109119;106853;102386;96952;115901;99968;99858;102730;112794;113021;124251;148525;156596;138345;141325;151153;139253;128904;135650;147003;142596;153151;230556;206569;191736;194845;184108;148209;196162;180992;196516;207293;241887;124842;0;0;215156;194009;189234;192919;0;154228;168218;262688;0;0;0;0;0;0;0;0;76667;0;0;119810;0;0;163746;167434;173713;173326;0;148200;163548;161106;0;0;0;236536;225051;239358;226496;0;0;0;0;0;0;0;273052;296650;0;0;0;0;0;470992;102408;101977;96991;92492;85820;85898;93115;98073;105239;106849;111273;66155;62616;60092;61624;54852;54776;59063;59435;69683;68727;73788;108734;106853;102386;92623;85302;92263;96797;102730;111715;111835;123432;148491;157212;138345;127724;111740;126195;120343;135240;145673;141015;151896;230556;206569;191736;173990;152847;148209;196162;180992;190900;207293;202386;
0203000;"Powiat głogowski";169292;167260;162828;161816;157080;159490;167953;183313;191268;194528;215504;102619;103151;105461;104439;102596;105627;106660;105460;120130;122936;132053;171116;165431;157529;157678;158211;151629;158634;165617;177162;181932;198709;207422;208822;199992;191333;198458;206139;213076;227217;228876;229284;264394;285145;264577;306474;340211;281548;290927;295243;303742;316255;343112;379267;230642;213100;197581;188701;174571;170408;179711;227008;223613;232410;387422;138036;132000;121993;136011;120946;116370;137923;109228;141061;135658;0;212357;193455;179996;179817;171122;168551;172447;182471;194344;194011;0;288780;251053;245730;242349;237774;241093;248983;279904;277018;241953;378795;316083;0;352554;360088;294690;338448;0;340286;323368;355792;441317;154118;156000;145245;149532;148244;156366;165064;176403;174284;187329;206181;98731;101040;100811;94178;92973;101959;97098;105345;115854;121020;132420;157489;156568;144009;144270;151151;145897;154800;162027;164874;180190;198709;189343;192826;175467;172202;182375;200460;206237;218300;210995;226969;253819;269675;256492;273560;336026;275415;280367;296380;295990;307596;334189;352675;
0204000;"Powiat górowski";89375;65028;118600;0;77667;124769;191500;191571;118263;103339;103995;0;0;0;0;0;0;0;0;51333;65531;67917;61667;0;0;0;0;111500;133667;0;80292;101568;100143;95000;0;0;0;0;138500;249333;231200;140867;127778;118200;0;0;0;0;0;0;0;0;190000;145200;140419;0;0;0;0;0;0;0;231200;0;0;129933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129933;0;0;0;0;0;0;0;231200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89375;65028;118600;0;77667;124769;170250;0;118263;103339;102944;0;0;0;0;0;0;0;0;51333;65531;67917;61667;0;0;0;0;111500;133667;0;80292;101568;97515;95000;0;0;0;0;138500;0;0;140867;127778;118200;0;0;0;0;0;0;0;0;190000;145200;140419;
0205000;"Powiat jaworski";160047;136430;127434;128468;107942;132790;115553;126862;148014;164404;178062;93167;68002;70296;66525;53647;65100;70760;71734;78347;89391;95789;117460;112288;94648;107797;94841;111251;105045;112056;140447;156328;145205;165466;153133;126350;152789;133500;158120;128577;153430;177980;170839;217092;247497;269189;244766;240688;218778;213929;184854;215531;238082;252113;296534;0;0;0;0;0;0;0;129150;0;0;274143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160047;135247;127434;128468;107942;132790;115553;126794;148081;162759;173637;93167;68002;70296;66525;53647;65100;70760;71283;78347;89391;94401;117460;112288;94648;107797;94841;111251;105045;111730;140447;156328;143311;165466;153133;126350;152789;133500;158120;128577;153430;178908;170839;213728;247497;270738;244766;240688;218778;213929;184854;216845;238082;246499;284370;
0206000;"Powiat karkonoski";166665;141997;168597;201725;186470;217157;181112;175978;205031;243865;240883;105749;113086;107109;158684;136435;131175;150063;138439;176475;151654;186997;146551;134310;170067;201375;178647;242408;186351;177909;224137;235859;241353;206701;189967;231987;228310;225718;268845;220489;222747;205112;241779;260350;251700;174333;209145;299583;247926;204843;191333;201769;201395;366548;313379;329705;281977;325197;305685;292784;310593;322233;328977;353253;401468;325825;194903;215429;233740;241895;244374;202832;246321;260197;328694;0;264921;268114;326864;347763;320998;296870;335330;368357;319584;365116;362281;337855;452627;311367;388545;340059;307664;355580;0;568530;379010;449083;436116;628367;0;0;472294;343171;0;0;0;0;469704;386800;135652;127088;117557;142965;136403;143312;154187;135178;143596;207658;223227;89900;101278;64898;102566;98561;85315;122560;98797;112756;144851;162533;119735;117805;105140;143778;127980;145667;141708;131305;130151;202278;219675;149949;169733;153708;150946;161982;174456;201443;153591;172506;224504;247644;216388;169000;209145;242013;210656;200866;191333;201769;201965;297778;298395;
0207000;"Powiat kamiennogórski";103254;95098;92796;83639;79002;71850;77628;88620;83319;98639;113548;60692;50371;56319;53758;47488;46482;46251;55880;50388;69473;70033;94031;101930;97501;86880;85376;76596;75328;88330;87804;95669;110369;143935;122962;95256;114469;98232;80606;105224;107242;119510;138588;168313;181150;151714;160125;98800;116667;140429;142167;143200;129571;159462;198038;207553;0;118037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98584;95098;91861;83639;77808;71850;77628;88215;82756;98639;113548;60692;50371;54114;53758;46157;46482;46251;55880;50388;69473;70033;94031;101930;95997;86880;85376;76596;75328;87276;87804;95669;110369;124850;122962;95256;114469;92249;80606;105224;107242;117530;138588;168313;181150;151714;160125;98800;116667;140429;142167;143200;129571;159462;198038;
0208000;"Powiat kłodzki";115668;112214;108395;121585;143298;134971;111312;150264;145697;132801;144915;67651;69677;64596;97440;123717;116142;76023;138906;118432;82140;100806;117332;119901;112773;125833;149156;130605;117982;146308;145838;131619;146240;153495;161649;143995;145854;163814;166875;134554;157321;168831;171357;201318;207702;188472;165317;189029;195412;162789;188228;199948;205002;241678;211583;202090;210686;224834;229732;321697;293574;242858;351893;313580;254277;276491;0;154153;0;184073;281775;238012;193941;327071;331694;347363;207550;177245;214917;218427;277088;346607;325479;283584;439861;305356;224184;252899;258643;301538;254445;319483;501756;522012;237364;262222;267742;263847;337953;302252;0;0;0;0;0;0;274686;0;447059;0;108661;104327;101959;93577;93594;104707;98561;109938;113585;119052;128559;66388;65201;63783;59083;59844;70173;64315;64373;74909;75397;94899;109042;108367;102528;95759;98090;100788;102077;106408;112291;118315;129778;145083;152476;139692;125254;120803;139556;122691;147892;149049;150882;163525;199360;188472;156165;172086;191695;161731;184650;195552;186737;230868;202046;
